Marital status,Application mode,Application order,Gender,Age at enrollment,Course,Course Name,Daytime/evening attendance,Previous qualification,Previous qualification (grade out of 200),Nationality Name,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Scholarship holder,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Student_Success
single,1st phase - general contingent,1,female,19.0,9238,Social Service,daytime,Secondary education,125.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,121.5,yes,no,no,yes,yes,no,0,6,9,6,10.85714286,0,0,6,7,6,11.66666667,0,12.4,0.5,1.79,Graduate
single,Over 23 years old,1,female,28.0,9991,Management (evening attendance),evening,Secondary education,100.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",120.7,no,no,no,yes,no,no,0,5,9,4,11.25,0,0,5,7,4,13.0,0,7.6,2.6,0.32,Enrolled
single,Short cycle diploma holders,1,female,21.0,9085,Veterinary Nursing,daytime,Professional higher technical course,130.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,128.8,no,no,no,yes,no,no,7,10,12,8,12.875,0,4,9,14,5,13.4,0,8.9,1.4,3.51,Dropout
single,1st phase - general contingent,1,female,19.0,9670,Advertising and Marketing Management,daytime,Secondary education,143.0,Portuguese,Higher Education - Bachelor's Degree,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Specialists in Intellectual and Scientific Activities,Unskilled Workers,144.1,yes,no,no,yes,no,no,0,6,7,5,12.6,0,0,6,10,5,12.375,0,10.8,1.4,1.74,Enrolled
single,1st phase - general contingent,2,female,21.0,9147,Management,daytime,Secondary education,118.0,Portuguese,Higher Education - Bachelor's Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Specialists in Intellectual and Scientific Activities,Administrative staff,113.8,yes,no,no,yes,no,no,0,5,9,3,11.66666667,0,0,5,9,4,11.75,0,8.9,1.4,3.51,Graduate
single,Change of institution/course,1,male,32.0,9670,Advertising and Marketing Management,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Higher Education - Bachelor's Degree,Secondary Education - 12th Year of Schooling or Equivalent,Intermediate Level Technicians and Professions,Armed Forces Professions,120.0,no,no,yes,yes,no,no,1,6,15,2,12.0,0,0,6,7,0,0.0,0,11.1,0.6,2.02,Dropout
single,Technological specialization diploma holders,1,female,21.0,9147,Management,daytime,Technological specialization course,117.4,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Administrative staff,Unskilled Workers,117.4,yes,no,no,yes,no,no,4,7,10,6,11.33333333,0,1,5,6,5,11.2,0,11.1,0.6,2.02,Graduate
single,1st phase - general contingent,1,male,18.0,9085,Veterinary Nursing,daytime,Secondary education,148.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,Unskilled Workers,131.6,no,no,no,yes,yes,no,0,6,8,6,15.5,0,0,6,9,4,15.5,0,11.1,0.6,2.02,Dropout
single,1st phase - general contingent,1,male,19.0,9500,Nursing,daytime,Secondary education,138.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,126.8,no,no,no,yes,yes,no,0,7,9,7,14.24444444,0,0,8,12,8,12.23333333,0,15.5,2.8,-4.06,Graduate
single,1st phase - general contingent,1,male,22.0,171,Animation and Multimedia Design,daytime,Secondary education,133.1,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",136.0,yes,no,no,yes,no,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.7,3.7,-1.7,Dropout
single,Over 23 years old,1,female,35.0,8014,Social Service (evening attendance),evening,Secondary education,130.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",134.0,no,no,no,yes,yes,no,2,8,8,8,13.625,0,1,7,7,7,14.0,0,8.9,1.4,3.51,Graduate
single,International student (bachelor),1,male,24.0,9119,Informatics Engineering,daytime,Secondary education,133.1,Brazilian,Higher Education - Bachelor's Degree,Higher Education - Bachelor's Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,100.0,no,no,yes,yes,no,yes,2,8,8,7,13.14285714,0,1,6,8,6,11.83333333,0,8.9,1.4,3.51,Enrolled
single,Change of institution/course,1,male,42.0,8014,Social Service (evening attendance),evening,Higher education - bachelor's degree,110.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Armed Forces Professions,110.0,no,no,no,yes,no,no,8,12,12,11,14.45454545,0,7,11,11,10,14.2,0,11.1,0.6,2.02,Graduate
single,1st phase - general contingent,2,female,20.0,9853,Basic Education,daytime,Secondary education,123.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Armed Forces Professions,115.3,yes,no,no,yes,no,no,0,7,8,6,13.5,0,0,7,8,6,14.0,0,11.1,0.6,2.02,Enrolled
single,1st phase - general contingent,3,female,19.0,9500,Nursing,daytime,Secondary education,106.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",109.5,yes,no,no,yes,no,no,0,7,8,7,13.025,0,0,8,9,8,13.81111111,0,13.9,-0.3,0.79,Graduate
married,Over 23 years old,1,female,37.0,8014,Social Service (evening attendance),evening,12th year of schooling - not completed,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Installation and Machine Operators and Assembly Workers,Armed Forces Professions,100.0,yes,no,no,yes,no,no,0,6,0,0,0.0,0,0,6,0,0,0.0,0,9.4,-0.8,-3.12,Dropout
single,Technological specialization diploma holders,1,male,19.0,9003,Agronomy,daytime,Secondary education,120.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Higher Education - Bachelor's Degree,Administrative staff,Teachers,120.0,no,no,no,yes,no,no,0,6,17,1,11.0,0,0,6,19,0,0.0,0,16.2,0.3,-0.92,Enrolled
single,1st phase - general contingent,1,female,20.0,9238,Social Service,daytime,Secondary education,151.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,Unskilled Workers,138.4,yes,no,no,yes,yes,no,0,6,8,6,14.25,0,0,6,8,6,11.0,0,12.7,3.7,-1.7,Graduate
single,1st phase - general contingent,1,male,18.0,9773,Journalism and Communication,daytime,Secondary education,131.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Equivalent,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",131.0,yes,no,no,yes,yes,no,0,6,7,6,12.71428571,0,0,6,8,5,11.83333333,0,13.9,-0.3,0.79,Graduate
single,1st phase - general contingent,1,female,18.0,9238,Social Service,daytime,Secondary education,167.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",156.2,no,no,no,yes,yes,no,0,6,6,6,14.33333333,0,0,6,7,6,14.14285714,0,15.5,2.8,-4.06,Graduate
single,Change of course,1,female,18.0,9500,Nursing,daytime,Secondary education,136.0,Portuguese,Higher Education - Bachelor's Degree,Higher Education - Bachelor's Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,100.0,no,no,no,yes,no,no,0,7,8,7,13.6125,0,0,8,8,8,14.575,0,13.9,-0.3,0.79,Graduate
single,1st phase - general contingent,3,female,20.0,9254,Tourism,daytime,Secondary education,122.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Intermediate Level Technicians and Professions,Armed Forces Professions,114.3,yes,no,no,yes,yes,no,0,6,8,5,12.8,0,0,6,9,5,12.8,0,12.4,0.5,1.79,Enrolled
single,1st phase - general contingent,1,female,18.0,9500,Nursing,daytime,Secondary education,141.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Secondary Education - 12th Year of Schooling or Equivalent,Intermediate Level Technicians and Professions,Armed Forces Professions,142.8,no,no,no,yes,no,no,0,7,7,7,13.7,0,0,8,9,8,13.99444444,0,11.1,0.6,2.02,Graduate
single,1st phase - general contingent,4,female,18.0,9500,Nursing,daytime,Secondary education,145.0,Portuguese,Higher Education - Bachelor's Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers","Personal Services, Security and Safety Workers and Sellers",130.0,yes,no,no,yes,no,no,0,8,8,8,13.76125,0,0,8,8,8,13.76125,0,9.4,-0.8,-3.12,Graduate
single,1st phase - general contingent,1,female,18.0,9085,Veterinary Nursing,daytime,Secondary education,151.0,Portuguese,Higher Education - Bachelor's Degree,Higher Education - Bachelor's Degree,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Other Situation,161.9,no,no,no,yes,no,no,0,5,6,4,13.75,0,0,5,8,5,14.85714286,0,7.6,2.6,0.32,Graduate
single,1st phase - general contingent,1,female,19.0,9853,Basic Education,daytime,Secondary education,145.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",142.2,no,no,no,yes,no,no,0,6,9,4,12.5,0,0,6,9,5,12.5,0,9.4,-0.8,-3.12,Enrolled
single,1st phase - general contingent,3,female,18.0,9085,Veterinary Nursing,daytime,Secondary education,158.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,153.6,yes,no,no,yes,yes,no,0,6,7,6,15.66666667,0,0,6,8,6,15.28571429,0,8.9,1.4,3.51,Graduate
single,1st phase - general contingent,6,male,18.0,9119,Informatics Engineering,daytime,Secondary education,135.0,Portuguese,Higher Education - Bachelor's Degree,Secondary Education - 12th Year of Schooling or Equivalent,Intermediate Level Technicians and Professions,"Personal Services, Security and Safety Workers and Sellers",123.5,yes,no,no,yes,no,no,0,5,10,0,0.0,0,0,5,10,1,10.0,3,7.6,2.6,0.32,Enrolled
divorced,Change of course,1,female,31.0,9991,Management (evening attendance),evening,Secondary education,164.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",131.8,no,no,no,yes,no,no,7,14,19,13,11.35714286,0,9,14,14,13,12.0,1,9.4,-0.8,-3.12,Graduate
single,Change of institution/course,1,male,38.0,9147,Management,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",112.1,no,no,yes,no,no,no,0,5,5,0,0.0,0,0,5,5,0,0.0,0,8.9,1.4,3.51,Dropout
single,2nd phase - general contingent,1,female,19.0,9085,Veterinary Nursing,daytime,Secondary education,139.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,136.2,no,no,no,yes,no,no,0,5,7,5,13.0,1,0,5,7,5,13.33333333,0,7.6,2.6,0.32,Graduate
single,1st phase - general contingent,1,female,22.0,9147,Management,daytime,Secondary education,127.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",129.8,yes,no,no,yes,no,no,0,5,8,3,10.33333333,0,0,5,11,2,10.0,0,7.6,2.6,0.32,Dropout
single,1st phase - general contingent,2,female,20.0,9773,Journalism and Communication,daytime,Secondary education,128.0,Portuguese,Unknown,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Student,141.0,yes,no,no,no,no,no,0,6,10,4,12.0,0,0,6,15,3,10.66666667,0,7.6,2.6,0.32,Dropout
single,3rd phase - general contingent,1,male,18.0,9130,Equinculture,daytime,Secondary education,146.0,Portuguese,Higher Education - Bachelor's Degree,Higher Education - Bachelor's Degree,"Personal Services, Security and Safety Workers and Sellers",Specialists in Intellectual and Scientific Activities,137.8,no,no,no,yes,no,no,0,6,11,5,13.6,0,0,6,13,3,12.66666667,0,13.9,-0.3,0.79,Dropout
single,Technological specialization diploma holders,1,male,19.0,9003,Agronomy,daytime,Technological specialization course,130.0,Portuguese,Higher Education - Bachelor's Degree,Secondary Education - 12th Year of Schooling or Equivalent,Administrative staff,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",130.0,no,no,no,yes,no,no,0,6,8,5,11.5,0,0,6,11,6,11.33333333,0,12.4,0.5,1.79,Enrolled
single,Over 23 years old,1,male,35.0,9085,Veterinary Nursing,daytime,Secondary education,140.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Other Situation,106.3,no,no,yes,no,no,no,0,5,7,2,11.5,0,0,5,8,2,10.5,0,7.6,2.6,0.32,Dropout
single,1st phase - general contingent,1,female,18.0,9670,Advertising and Marketing Management,daytime,Secondary education,127.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",118.3,yes,no,no,yes,no,no,0,6,7,6,12.33333333,0,0,6,10,3,12.0,0,13.9,-0.3,0.79,Enrolled
single,1st phase - general contingent,1,male,23.0,171,Animation and Multimedia Design,daytime,Secondary education,131.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Secondary Education - 12th Year of Schooling or Equivalent,"Skilled Workers in Industry, Construction and Craftsmen",Administrative staff,127.2,yes,no,yes,yes,no,no,13,17,19,13,12.15384615,0,10,17,28,11,11.90909091,1,11.1,0.6,2.02,Enrolled
single,1st phase - general contingent,1,female,19.0,9238,Social Service,daytime,Secondary education,145.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,129.3,no,no,yes,yes,yes,no,0,6,11,3,11.0,0,0,6,9,4,11.25,0,10.8,1.4,1.74,Graduate
single,Holders of other higher courses,1,female,23.0,8014,Social Service (evening attendance),evening,Higher education - degree,130.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,"Personal Services, Security and Safety Workers and Sellers",Armed Forces Professions,130.0,yes,no,yes,no,no,no,7,12,12,11,14.0,0,4,10,11,8,14.625,0,13.9,-0.3,0.79,Dropout
single,1st phase - general contingent,1,male,20.0,9147,Management,daytime,Secondary education,125.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Secondary Education - 12th Year of Schooling or Equivalent,Administrative staff,Specialists in Intellectual and Scientific Activities,134.1,yes,no,no,yes,no,no,0,5,0,0,0.0,0,0,5,0,0,0.0,0,8.9,1.4,3.51,Dropout
single,Over 23 years old,1,male,29.0,9991,Management (evening attendance),evening,Secondary education,150.0,Portuguese,Higher Education - Bachelor's Degree,Higher Education - Doctorate,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,135.8,no,no,yes,yes,no,no,1,5,9,3,11.0,0,0,5,11,2,13.5,0,12.7,3.7,-1.7,Dropout
single,2nd phase - general contingent,1,male,18.0,9670,Advertising and Marketing Management,daytime,Secondary education,125.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Personal Services, Security and Safety Workers and Sellers",126.4,no,no,no,yes,yes,no,0,6,7,6,12.28571429,0,0,6,7,6,13.33333333,1,16.2,0.3,-0.92,Graduate
married,Over 23 years old,1,female,28.0,9003,Agronomy,daytime,Secondary education,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",110.0,no,no,yes,no,no,no,0,6,17,5,13.0,0,0,6,11,4,11.75,0,13.9,-0.3,0.79,Dropout
single,2nd phase - general contingent,2,male,21.0,9119,Informatics Engineering,daytime,Secondary education,133.1,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Higher Education - Bachelor's Degree,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,117.0,yes,no,no,yes,no,no,0,5,10,5,11.16666667,0,0,5,10,3,10.8,0,12.4,0.5,1.79,Enrolled
single,1st phase - general contingent,5,male,22.0,9773,Journalism and Communication,daytime,Secondary education,125.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Higher Education - Bachelor's Degree,"Personal Services, Security and Safety Workers and Sellers",Specialists in Intellectual and Scientific Activities,126.1,yes,no,no,yes,no,no,0,6,10,5,13.4,0,0,6,12,3,10.66666667,0,9.4,-0.8,-3.12,Enrolled
single,Technological specialization diploma holders,1,male,20.0,9130,Equinculture,daytime,Technological specialization course,140.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",140.0,no,no,no,yes,no,no,2,6,12,5,12.4,0,1,6,11,2,15.0,0,13.9,-0.3,0.79,Enrolled
single,Technological specialization diploma holders,1,female,26.0,9991,Management (evening attendance),evening,Technological specialization course,160.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,160.0,no,no,no,yes,no,no,0,5,5,5,12.0,0,0,5,7,5,11.4,0,12.7,3.7,-1.7,Graduate
single,Change of course,1,female,37.0,9991,Management (evening attendance),evening,Higher education - degree,120.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,120.0,no,no,no,yes,no,no,7,14,21,12,11.83333333,0,11,12,15,11,11.36363636,0,12.7,3.7,-1.7,Graduate
single,1st phase - general contingent,1,female,19.0,9238,Social Service,daytime,Secondary education,145.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Personal Services, Security and Safety Workers and Sellers",127.9,yes,no,no,yes,no,no,0,6,7,6,13.71428571,0,0,6,6,6,13.16666667,0,12.7,3.7,-1.7,Graduate
single,Technological specialization diploma holders,1,female,20.0,9130,Equinculture,daytime,Technological specialization course,150.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Secondary Education - 12th Year of Schooling or Equivalent,Administrative staff,Administrative staff,150.0,yes,no,no,yes,no,no,0,5,7,4,12.0,1,0,5,6,4,12.4,0,10.8,1.4,1.74,Enrolled
single,1st phase - general contingent,1,male,20.0,9130,Equinculture,daytime,Secondary education,132.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Secondary Education - 12th Year of Schooling or Equivalent,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,143.9,yes,no,no,yes,no,no,0,5,14,2,11.0,3,0,5,9,3,12.66666667,0,9.4,-0.8,-3.12,Enrolled
single,1st phase - general contingent,1,male,19.0,9670,Advertising and Marketing Management,daytime,Secondary education,129.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Unskilled Workers,118.2,no,no,no,yes,no,no,0,5,5,5,10.8,0,0,5,5,4,12.25,0,9.4,-0.8,-3.12,Graduate
single,1st phase - general contingent,1,female,19.0,9500,Nursing,daytime,Secondary education,136.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",136.4,no,no,no,yes,yes,no,0,7,8,7,12.8375,0,0,8,8,8,15.5,0,13.9,-0.3,0.79,Graduate
single,1st phase - general contingent,1,female,18.0,9085,Veterinary Nursing,daytime,Secondary education,127.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Higher Education - Bachelor's Degree,Unskilled Workers,Administrative staff,123.2,yes,no,no,yes,yes,no,0,6,7,6,15.71428571,0,0,6,17,5,12.77777778,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent,2,female,19.0,9500,Nursing,daytime,Secondary education,133.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic education 1st cycle (4th/5th year) or equiv.,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Unskilled Workers,128.5,yes,no,no,yes,yes,no,0,8,8,8,14.07125,0,0,8,8,8,14.07125,0,9.4,-0.8,-3.12,Graduate
single,1st phase - general contingent,1,female,20.0,9147,Management,daytime,Secondary education,127.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Armed Forces Professions,117.9,no,no,no,yes,yes,no,5,10,13,9,12.9,0,4,10,12,10,12.36363636,0,8.9,1.4,3.51,Graduate
divorced,Over 23 years old,1,female,26.0,9500,Nursing,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",140.0,no,no,no,yes,yes,no,0,7,13,5,12.74,0,0,8,12,6,10.97857143,0,16.2,0.3,-0.92,Dropout
single,2nd phase - general contingent,1,female,18.0,9670,Advertising and Marketing Management,daytime,Secondary education,124.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers,114.2,yes,no,yes,yes,no,no,0,6,6,5,11.8,0,0,6,9,4,13.71428571,0,10.8,1.4,1.74,Dropout
single,1st phase - special contingent,2,male,18.0,171,Animation and Multimedia Design,daytime,Secondary education,145.0,Portuguese,Higher Education - Bachelor's Degree,Higher Education - Bachelor's Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,143.6,yes,no,no,yes,no,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.4,0.5,1.79,Graduate
single,2nd phase - general contingent,6,female,19.0,9238,Social Service,daytime,Secondary education,135.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",126.6,yes,no,no,yes,yes,no,0,6,8,6,13.625,0,0,6,7,6,12.16666667,0,12.7,3.7,-1.7,Graduate
divorced,Over 23 years old,1,male,49.0,9003,Agronomy,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,110.0,no,no,no,yes,no,no,6,12,17,7,12.0,0,3,12,19,9,11.22222222,0,15.5,2.8,-4.06,Graduate
single,2nd phase - general contingent,2,female,20.0,9254,Tourism,daytime,Secondary education,108.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",108.0,yes,no,no,yes,yes,no,0,6,10,4,11.6,0,0,6,10,4,11.75,0,12.7,3.7,-1.7,Graduate
single,1st phase - general contingent,1,female,21.0,8014,Social Service (evening attendance),evening,Secondary education,128.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Student,Student,122.1,no,no,no,yes,no,no,0,6,8,5,12.8,0,0,6,10,6,11.85714286,0,7.6,2.6,0.32,Graduate
single,1st phase - general contingent,1,male,21.0,9254,Tourism,daytime,Secondary education,140.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Intermediate Level Technicians and Professions,130.0,no,no,no,yes,no,no,0,6,8,6,12.57142857,0,0,6,10,4,13.0,0,12.7,3.7,-1.7,Enrolled
single,Change of course,6,female,23.0,9238,Social Service,daytime,Secondary education,129.0,Portuguese,Unknown,Unknown,Student,Student,125.2,no,no,no,yes,yes,no,15,16,18,16,13.0,0,11,13,15,13,13.26666667,0,9.4,-0.8,-3.12,Graduate
divorced,Over 23 years old,1,female,35.0,9991,Management (evening attendance),evening,Secondary education,140.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,"Unskilled workers in agriculture, animal production, fisheries and forestry",129.7,no,no,no,yes,no,no,0,5,8,5,12.0,0,0,5,9,5,12.85714286,0,13.9,-0.3,0.79,Graduate
single,1st phase - general contingent,5,male,19.0,9670,Advertising and Marketing Management,daytime,Secondary education,142.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Intermediate Level Technicians and Professions,132.9,no,no,no,yes,no,no,0,5,5,4,12.5,0,0,5,5,4,14.25,0,7.6,2.6,0.32,Graduate
single,1st phase - general contingent,1,female,19.0,9070,Communication Design,daytime,Secondary education,143.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Unskilled workers in extractive industry, construction, manufacturing and transport",134.3,yes,yes,no,yes,no,no,0,6,6,6,14.66666667,0,0,6,7,6,15.14285714,0,8.9,1.4,3.51,Graduate
